deleteClientById,2024-05-18 23:12:39
readClientById,2024-05-18 23:36:02
creeazaClientNou,2024-05-18 23:36:08
readClientById,2024-05-18 23:36:21
deleteClientById,2024-05-18 23:36:27
createCard,2024-05-18 23:39:15
createCard,2024-05-18 23:39:20
deleteCardById,2024-05-18 23:39:24
createCard,2024-05-18 23:39:33
creeazaClientNou,2024-05-18 23:41:49
creeazaClientNou,2024-05-19 00:33:37
readClientById,2024-05-19 00:34:23
readClientById,2024-05-19 00:34:27
readClientById,2024-05-19 00:34:38
deleteClientById,2024-05-19 00:34:45
creeazaClientNou,2024-05-19 00:34:55
readClientById,2024-05-19 00:35:11
createCard,2024-05-19 00:35:38
createCard,2024-05-19 00:35:43
readClientById,2024-05-19 00:36:33
deleteCardById,2024-05-19 00:36:58
createContEconomii,2024-05-19 00:37:33
createContEconomii,2024-05-19 00:44:14
createContEconomii,2024-05-19 00:44:50
createContEconomii,2024-05-19 00:45:32
createContEconomii,2024-05-19 00:46:03
viewSumaInContEconomii,2024-05-19 00:46:21
viewSumaInContEconomii,2024-05-19 00:47:21
viewSumaInContEconomii,2024-05-19 00:47:35
addSumaInContEconomii,2024-05-19 00:47:39
createContBancar,2024-05-19 00:48:07
retrage,2024-05-19 00:48:43
deleteContBancarById,2024-05-19 00:48:57
viewAllExchangeRates,2024-05-19 00:49:16
performSchimbValutar,2024-05-19 00:49:23
createContEconomii,2024-05-19 23:02:34
